"STATION","NAME","DATE","PRCP"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-22","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-28","0.05"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-01","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-03","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-04","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-05","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-06","1.19"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-07","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-09","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-11","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-15","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-16","0.03"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-17","0.24"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-18","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-20","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-21","0.54"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-22","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-23","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-24","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-25","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-26","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-27","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-28","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-29","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-30","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-31","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-01","0.82"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-03","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-04","0.24"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-05","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-06","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-09","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-12","0.42"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-13","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-14","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-15","0.03"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-20","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-21","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-22","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-26","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-27","0.21"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-30","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-04","1.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-05","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-06","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-07","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-09","0.46"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-11",
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-12","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-13","0.16"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-14","0.91"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-15","0.46"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-16","0.03"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-20","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-21","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-22","0.47"
